相關單位,細部單位,資料名稱,NCName,資料說明,主要URL,JSONUrl,XMLUrl,CSVUrl
經濟部水利署,河川海岸組,中央管河川河堤,CentralControlledRiverBank,資料來源為經濟部水利署自102年度至104年度透過調查中央管河川水系治理計畫範圍之防洪工程基本資料，第一年期於102年度執行，包括淡水河、蘭陽溪、和平溪、鳳山溪、頭前溪、中港溪、後龍溪及大安溪等共八條河川；第二年期於103年度執行，包括大甲溪、烏溪、濁水溪、北港溪、朴子溪、八掌溪、急水溪及曾文溪等共八條河川；第三年期於104年度執行，包括鹽水溪、二仁溪、阿公店溪、高屏溪、東港溪、四重溪、卑南溪、秀姑巒溪及花蓮溪共九條河川。主要以彙整各水系治理基本計畫堤防工程佈置圖，施工圖(數值地形圖)，配合水系近期航拍正射影像與數值地形圖，進行堤防名稱檢核，堤防起終點位置確認作業，並由現地GPS定位資訊，輔助位置資料檢核。,http://wise.wra.gov.tw/dataset/centralcontrolledriverbank,https://data.wra.gov.tw/Service/OpenData.aspx?format=json&amp=&id=A1D67AD0-EA71-4673-8646-AF8ABF2E64BF,https://data.wra.gov.tw/Service/OpenData.aspx?format=xml&amp=&id=A1D67AD0-EA71-4673-8646-AF8ABF2E64BF,https://data.wra.gov.tw/Service/OpenData.aspx?format=csv&amp=&id=A1D67AD0-EA71-4673-8646-AF8ABF2E64BF
經濟部水利署,河川海岸組,中央管海堤,CentralControlledSeaDike,資料來源為經濟部水利署98年辦理臺灣北部地區及中部地區、99年辦理臺灣南部地區及東部地區海岸海岸數值圖資建置及開發空間資訊系統全面調查管轄之一般性海堤歷年來所位屬之行政區域、建造數量、名稱、屬性及數化海岸線長度等基本資料，另加入100年度辦理主要離島地區(龜山島、小琉球、綠島、蘭嶼與澎湖群島)以及金門、馬祖地區，以航測技術產製海岸區正射影像及衛星影像圖，進行海堤及海岸補充調查及土地利用現況等數值圖資之所製作之海岸圖資。,http://wise.wra.gov.tw/dataset/centralcontrolledseadike,https://data.wra.gov.tw/Service/OpenData.aspx?format=json&amp=&id=3C95AA97-D19B-4A92-9BF3-34822C21508C,https://data.wra.gov.tw/Service/OpenData.aspx?format=xml&amp=&id=3C95AA97-D19B-4A92-9BF3-34822C21508C,https://data.wra.gov.tw/Service/OpenData.aspx?format=csv&amp=&id=3C95AA97-D19B-4A92-9BF3-34822C21508C
經濟部水利署,河川海岸組,中央管排水,CentralControlledDrainage,資料來源為經濟部水利署水利規劃試驗所99年「中央管區域排水GIS系統建置及資料之統計分析」，所統整中央管區域排水系統資料，併同補充蒐集資料及現場調查資料進行數化建置之圖資。本計畫以公告之中央管區域排水，計36條排水，包含深澳坑溪排水、大內坑溪排水、塔寮坑溪排水、鶯歌溪(兔子坑溪)排水、福興溪排水、伯公岡支線、六股溪排水、德盛溪排水、四湖支線、鹽港溪排水、客雅溪排水、柯子湖溪排水、旱溪排水、柳川排水、同安厝排水、港尾子溪排水、四塊厝圳支線、員寶庄圳支線、大埔厝圳支線、隘寮溪排水、興安排水、興安中排四、後庄(隆恩)排水、嘉義排水、麻魚寮溪排水、埤麻腳排水、湖子內(在來)排水、三爺溪排水、西機場排水、鹽水溪排水、曾文溪排水、安順寮排水、典寶溪排水、外六寮排水、高雄農場排水、吉洋排水等。,http://wise.wra.gov.tw/dataset/centralcontrolleddrainage,https://data.wra.gov.tw/Service/OpenData.aspx?format=json&amp=&id=7A4DAE5F-0645-4624-9601-1CD1D47C9CE2,https://data.wra.gov.tw/Service/OpenData.aspx?format=xml&amp=&id=7A4DAE5F-0645-4624-9601-1CD1D47C9CE2,https://data.wra.gov.tw/Service/OpenData.aspx?format=csv&amp=&id=7A4DAE5F-0645-4624-9601-1CD1D47C9CE2
經濟部水利署,河川海岸組,中央管水門,CentralControlledWaterGate,資料來源為經濟部水利署104年辦理「中央管水門及抽水站資料庫建置計畫」,計畫範圍涵蓋全省中央管河川、區域排水及海堤水門,透過蒐集處理歷年水利建造物、水門資料卡、河川局水門維護廠商書圖報告等資料蒐集,歸納整理水門總數共計3957座,配合現有水門資料之蒐集與記錄,採現地調查方式,進行定位,坐標為TWD97【2010】坐標系統。屬性資料建置依據現地定位資訊進行記錄,並調查細節資訊(如位置、形式構造尺寸、材質、水系),據以建立其相關之屬性資訊。,http://wise.wra.gov.tw/dataset/centralcontrolledwatergate,https://data.wra.gov.tw/Service/OpenData.aspx?format=json&amp=&id=25CC2D89-45FA-4FCA-989E-70AF733D8377,https://data.wra.gov.tw/Service/OpenData.aspx?format=xml&amp=&id=25CC2D89-45FA-4FCA-989E-70AF733D8377,https://data.wra.gov.tw/Service/OpenData.aspx?format=csv&amp=&id=25CC2D89-45FA-4FCA-989E-70AF733D8377
經濟部水利署,水文技術組,水利署地層下陷GPS測站基本資料,WaterResourcesAgencyContinuousLandSubsidenceGPSStationProfile,本資料集提供全臺地層下陷地區水利署所屬GPS連續固定站之基本資訊，目前署內共計有21個GPS固定站，包括彰化西港國小、新生國小、湖南國小、溪州國小、雲林新興國小、土庫國中、客厝國小、光復國小、林內國中、宏崙國小、中科虎尾、明德國小、豐榮國小、水燦林國小、宜梧國中、秀潭國小、元長國小、嘉義布袋國小、灣內國小及屏東林邊國中、頂寮安檢所GPS固定站等；GPS固定站設備主要包含GPS接收儀、網路系統、溫控散熱系統、防落雷突波裝置、備用電池不斷電系統以及GPS天線等。GPS連續固定站具有24小時全天候觀測、衛星星群於全球分佈、不受天氣和時間影響的特性，因此GPS連續固定站能提供每日的高程結果，可進一步得知逐日高程隨時間的變化情形；因此，GPS連續固定站的時間解析度為一天。而GPS連續固定站提供的是單一測站的高程變化，故無法代表整個地區之地表變化，特此說明。,http://wise.wra.gov.tw/dataset/waterresourcesagencycontinuouslandsubsidencegpsstationprofile,https://data.wra.gov.tw/Service/OpenData.aspx?format=json&amp=&id=F3728DC0-04DB-436C-9B29-46D3CEE0EAB7,https://data.wra.gov.tw/Service/OpenData.aspx?format=xml&amp=&id=F3728DC0-04DB-436C-9B29-46D3CEE0EAB7,https://data.wra.gov.tw/Service/OpenData.aspx?format=csv&amp=&id=F3728DC0-04DB-436C-9B29-46D3CEE0EAB7
經濟部水利署,水文技術組,水利署地層下陷GPS測站監測資訊,WaterResourcesAgencyContinuousLandSubsidenceGPSStationSubsidenceObservationData,本資料集提供全臺地層下陷地區水利署所屬GPS連續固定站之高程資訊，讓使用者瞭解現有GPS連續固定站監測的資料時間段，與其對應的高程結果；目前署內共計有13個GPS固定站，包括彰化西港國小、新生國小、湖南國小、溪州國小、雲林新興國小、土庫國中、客厝國小、光復國小、林內國中、宏崙國小、台大醫院雲林虎尾院區、明德國小及嘉義布袋國小GPS固定站等。GPS連續固定站具有24小時全天候觀測、衛星星群於全球分佈、不受天氣和時間影響的特性，因此GPS連續固定站能提供每日的高程結果，可進一步得知逐日高程隨時間的變化情形；因此，GPS連續固定站的時間解析度為一天。而GPS連續固定站提供的是單一測站的高程變化，尚無法代表整個雲林地區及嘉義地區的地表變化，特此說明。經水利署逐次審查通過後，於每年公布正式監測資料。,http://wise.wra.gov.tw/dataset/waterresourcesagencycontinuouslandsubsidencegpsstationsubsidenceobservationdata,https://data.wra.gov.tw/Service/OpenData.aspx?format=json&amp=&id=B326FDEF-D1EB-4948-A5BD-7D8961F94CB8,https://data.wra.gov.tw/Service/OpenData.aspx?format=xml&amp=&id=B326FDEF-D1EB-4948-A5BD-7D8961F94CB8,https://data.wra.gov.tw/Service/OpenData.aspx?format=csv&amp=&id=B326FDEF-D1EB-4948-A5BD-7D8961F94CB8
經濟部水利署,資訊室,枯旱預警,DroughtWarning,本資料集主要係提供臺灣地區供水情勢(枯旱預警)通報，依通報日期將臺灣地區分為臺北市及新北市部分地區、新北市板新地區、基隆市及新北市汐止區、新北市部分地區、桃園市及新北市林口區、新竹縣(市)、苗栗縣、臺中市及彰化縣北部地區、南投縣、彰化縣南部地區、雲林縣、嘉義縣(市)、臺南市、高雄市、屏東縣北部地區、屏東縣南部地區、宜蘭縣、花蓮縣、臺東縣、澎湖縣、金門縣、連江縣等供水區，並將預警水情分為水情正常、水情稍緊、一階限水、二階限水及三階限水等狀況，以提供各地區水情狀況。本資料業已公布於水利署全球資訊網。,http://wise.wra.gov.tw/dataset/droughtwarning,https://data.wra.gov.tw/Service/OpenData.aspx?format=json&amp=&id=3C082D33-AF41-4558-81A5-7A092E08F845,https://data.wra.gov.tw/Service/OpenData.aspx?format=xml&amp=&id=3C082D33-AF41-4558-81A5-7A092E08F845,https://data.wra.gov.tw/Service/OpenData.aspx?format=csv&amp=&id=3C082D33-AF41-4558-81A5-7A092E08F845
經濟部水利署,水利防災中心,警戒水位值,EvaluatedAlertWaterLevel,河川警戒水位係依水利法第七十四條：主管機關應酌量歷年水勢，決定設防之水位或日期。水利法施行細則第五十二條：本法第七十四條第一項所稱設防之水位，指由主管機關公告分級之警戒水位。河川管理辦法第二十六條：每一河川之警戒水位，由各該主管機關訂定並公告之。因此，依水利法施行細則第五十二條將警戒水位分為三級，並依各級警戒水位應採行措施分別訂定其預警時間。其中，一級警戒水位：地方政府依據災害防救法第二十四條執行勸告或指示撤離，並作適當安置所需之時間，原則上採 2 小時。二級警戒水位：地方政府動員準備（人員、機具及材料）所需之時間，原則上採 5小時。三級警戒水位：地方政府撤離在河川區域活動之民眾、車輛、機具、財物等及關閉河川區域出入口所需之時間，原則上採 2 小時。,http://wise.wra.gov.tw/dataset/evaluatedalertwaterlevel,https://data.wra.gov.tw/Service/OpenData.aspx?format=json&amp=&id=D2A498A6-8706-42FB-B623-C08C9665BDFD,https://data.wra.gov.tw/Service/OpenData.aspx?format=xml&amp=&id=D2A498A6-8706-42FB-B623-C08C9665BDFD,https://data.wra.gov.tw/Service/OpenData.aspx?format=csv&amp=&id=D2A498A6-8706-42FB-B623-C08C9665BDFD
經濟部水利署,資訊室,水利防災資訊,DisasterPreventionInformation,水利署整合了氣象、雨量、警戒、災情、崩塌、監控、淹水潛勢、土石流和水文水資源等資訊，提供KML下載，使用者可於「Google Earth」呈現了解即時的狀況。,http://wise.wra.gov.tw/dataset/disasterpreventioninformation,https://data.wra.gov.tw/Service/OpenData.aspx?format=json&amp=&id=DE639764-C640-4CB8-B6B6-425A47772DF0,https://data.wra.gov.tw/Service/OpenData.aspx?format=xml&amp=&id=DE639764-C640-4CB8-B6B6-425A47772DF0,https://data.wra.gov.tw/Service/OpenData.aspx?format=csv&amp=&id=DE639764-C640-4CB8-B6B6-425A47772DF0
經濟部水利署,資訊室,防災資訊_淹水警戒,FloodWarningOfDisasterPreventionInformation,經濟部水利署災害緊急應變小組，運用長期防災應變等相關經驗，進一步結合雨量、水位、水庫等即時資料，透過電腦科技的運算，提供民眾與相關單位即時淹水警戒。讓民眾了解居家淹水風險，及早準備，降低災害的發生。,http://wise.wra.gov.tw/dataset/floodwarningofdisasterpreventioninformation,https://data.wra.gov.tw/Service/OpenData.aspx?format=json&amp=&id=26586E2F-A458-48E6-B4FA-82F810BFD71D,https://data.wra.gov.tw/Service/OpenData.aspx?format=xml&amp=&id=26586E2F-A458-48E6-B4FA-82F810BFD71D,https://data.wra.gov.tw/Service/OpenData.aspx?format=csv&amp=&id=26586E2F-A458-48E6-B4FA-82F810BFD71D
經濟部水利署,資訊室,防災資訊_河川警戒,WaterLevelWarningOfDisasterPreventionInformation,經濟部水利署災害緊急應變小組，運用長期防災應變等相關經驗，進一步結合雨量、水位、水庫等即時資料，透過電腦科技的運算，提供民眾與相關單位水位警戒。讓民眾了解居家淹水風險，及早準備，降低災害的發生。,http://wise.wra.gov.tw/dataset/waterlevelwarningofdisasterpreventioninformation,https://data.wra.gov.tw/Service/OpenData.aspx?format=json&amp=&id=21C51935-4227-4F65-B7A7-7EAC56322259,https://data.wra.gov.tw/Service/OpenData.aspx?format=xml&amp=&id=21C51935-4227-4F65-B7A7-7EAC56322259,https://data.wra.gov.tw/Service/OpenData.aspx?format=csv&amp=&id=21C51935-4227-4F65-B7A7-7EAC56322259
經濟部水利署,資訊室,防災資訊_水庫洩洪警戒,ReservoirWarningOnDischargeOfDisasterPreventionInformation,經濟部水利署災害緊急應變小組，運用長期防災應變等相關經驗，進一步結合雨量、水位、水庫等即時資料，透過電腦科技的運算，提供民眾與相關單位水庫警戒。讓民眾了解居家淹水風險，及早準備，降低災害的發生。,http://wise.wra.gov.tw/dataset/reservoirwarningondischargeofdisasterpreventioninformation,https://data.wra.gov.tw/Service/OpenData.aspx?format=json&amp=&id=4818E6AC-3BAB-421F-9AF5-9540E58E6C40,https://data.wra.gov.tw/Service/OpenData.aspx?format=xml&amp=&id=4818E6AC-3BAB-421F-9AF5-9540E58E6C40,https://data.wra.gov.tw/Service/OpenData.aspx?format=csv&amp=&id=4818E6AC-3BAB-421F-9AF5-9540E58E6C40
經濟部水利署,河川勘測隊,中央管區域排水設施範圍公告一覽表,AnnouncementOfCentralDrainageZone,資料來源為經濟部水利署區域排水設施範圍勘測計畫所統整中央管區域排水系統資料。本資料集已公告之中央管區域排水，包含深澳坑溪排水、大內坑溪排水、塔寮坑溪排水、鶯歌溪(兔子坑溪)排水、德盛溪排水、四湖支線、鹽港溪排水、客雅溪排水、柯子湖溪排水、旱溪排水、柳川排水、同安厝排水、港尾子溪排水、四塊厝圳支線、員寶庄圳支線、大埔厝圳支線、興安排水、興安排水中四、後庄(隆恩)排水、嘉義排水、麻魚寮溪排水、埤麻腳排水、湖子內(在來)排水、三爺溪排水、西機場排水、鹽水溪排水、曾文溪排水、安順寮排水、典寶溪排水、外六寮排水、高雄農場排水等。,http://wise.wra.gov.tw/dataset/announcementofcentraldrainagezone,https://data.wra.gov.tw/Service/OpenData.aspx?format=json&amp=&id=61A58CDD-4DA5-4AC9-82D4-149363EA0C5C,https://data.wra.gov.tw/Service/OpenData.aspx?format=xml&amp=&id=61A58CDD-4DA5-4AC9-82D4-149363EA0C5C,https://data.wra.gov.tw/Service/OpenData.aspx?format=csv&amp=&id=61A58CDD-4DA5-4AC9-82D4-149363EA0C5C
中區水資源局,水文課,中區水資源局轄管水庫、堰、壩洩洪訊息,ReservoirWeirDamFloodMessageOfCentralRegionWaterResourcesOffice,經濟部水利署中區水資源局轄管水庫、堰、壩洩洪訊息，訊息來源包含鯉魚潭水庫、石岡壩、集集攔河堰及湖山水庫，於堰、壩有排洪、排砂、調節水量等需求，需要開啟閘門或水庫自然溢流情形發生時，公告相關訊息，提醒下游低窪地區民眾注意防範。由經濟部水利署中區水資源局提供，中區水資源局主管台灣中部地區水資源工程規劃、設計、施工，與所轄鯉魚潭水庫、石岡壩及集集攔河堰之營運管理及區域水資源調配。本訊息依天候及營運狀況會隨時更新，其他相關訊息可連結本局全球資訊網查詢，或逕洽本局各管理中心洽詢。希望能藉由提供資訊給民眾,以此讓大眾更加了解中部地區的洩洪相關訊息。,http://wise.wra.gov.tw/dataset/reservoirweirdamfloodmessageofcentralregionwaterresourcesoffice,https://data.wra.gov.tw/Service/OpenData.aspx?format=json&amp=&id=D6067087-D72C-4759-AB18-6D65FDDE677A,https://data.wra.gov.tw/Service/OpenData.aspx?format=xml&amp=&id=D6067087-D72C-4759-AB18-6D65FDDE677A,https://data.wra.gov.tw/Service/OpenData.aspx?format=csv&amp=&id=D6067087-D72C-4759-AB18-6D65FDDE677A
經濟部水利署,水文技術組,水利署所屬雨量站基本資料,WaterResourcesAgencyRainfallStationsProfile,本資料集主要包含經濟部水利署所轄雨量觀測站站況基本資料，包括測站站號、中文站名、中文站址、英文站址、流域編號、縣市代碼、鄉鎮代碼、TM2度分帶97X坐標、TM2度分帶97Y坐標、標高、存廢代碼、設置地點之單位名稱、測站所屬村里、測站所屬之流域(支流)、測站所屬之流域(次支流)、設備類型、是否有傳輸設備等。本資料集資料內容更新頻率為每年一次，於每年度資料更新前，站況基本資料可能配合實際情況有所更動，使用者引用時請注意。另本署所屬雨量站即時觀測資料，已另由交通部中央氣象局統一於政府資料開放平臺發布。,http://wise.wra.gov.tw/dataset/waterresourcesagencyrainfallstationsprofile,https://data.wra.gov.tw/Service/OpenData.aspx?format=json&amp=&id=F77C5EE5-2A30-4C62-B241-2F4CC8395864,https://data.wra.gov.tw/Service/OpenData.aspx?format=xml&amp=&id=F77C5EE5-2A30-4C62-B241-2F4CC8395864,https://data.wra.gov.tw/Service/OpenData.aspx?format=csv&amp=&id=F77C5EE5-2A30-4C62-B241-2F4CC8395864
經濟部水利署,河川勘測隊,中央管河川河川區域公告一覽表,AnnouncementOfCentralRiverZone,資料來源為經濟部水利署河川區域勘測計畫之資料，包括臺灣各中央管河川水系(蘭陽溪水系、磺溪水系、淡水河系、鳳山溪水系、頭前溪水系、中港溪水系、後龍溪水系、大安溪水系、大甲溪水系、烏溪水系、濁水溪水系、北港溪水系、朴子溪水系、八掌溪水系、急水溪水系、曾文溪水系、鹽水溪水系、二仁溪水系、阿公店溪水系、高屏溪水系、東港溪水系、四重溪水系、卑南溪水系、秀姑巒溪水系、花蓮溪水系、和平溪水系)之中央管河川，如淡水河、蘭陽溪、和平溪、鳳山溪、頭前溪、中港溪、後龍溪、大安溪、大甲溪、烏溪、濁水溪、北港溪、朴子溪、八掌溪、急水溪、曾文溪、鹽水溪、二仁溪、阿公店溪、高屏溪、東港溪、四重溪、卑南溪、秀姑巒溪及花蓮溪等。,http://wise.wra.gov.tw/dataset/announcementofcentralriverzone,https://data.wra.gov.tw/Service/OpenData.aspx?format=json&amp=&id=8ADFFA86-22FA-41AA-BE14-6949979DA545,https://data.wra.gov.tw/Service/OpenData.aspx?format=xml&amp=&id=8ADFFA86-22FA-41AA-BE14-6949979DA545,https://data.wra.gov.tw/Service/OpenData.aspx?format=csv&amp=&id=8ADFFA86-22FA-41AA-BE14-6949979DA545
